            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459597.500000000, A.D. 2022-Jan-18 00:00:00.0000,  4.434113168818012E+09, -5.184292389767465E+08, -3.225967226172933E+08,  7.020400943002107E-01,  5.034967397656549E+00,  2.044233894109282E+00,  1.493018772258613E+04,  4.475957675755518E+09, -3.503434458668855E-02,
2459598.500000000, A.D. 2022-Jan-19 00:00:00.0000,  4.434173828629067E+09, -5.179941893572356E+08, -3.224200842421288E+08,  7.021799695331015E-01,  5.035597888294888E+00,  2.044465312379141E+00,  1.493017770597962E+04,  4.475954672852432E+09, -3.440586236641566E-02,
2459599.500000000, A.D. 2022-Jan-20 00:00:00.0000,  4.434234503570534E+09, -5.175591006820976E+08, -3.222434647224745E+08,  7.022454044878279E-01,  5.035799850229278E+00,  2.043849211878412E+00,  1.493016789587368E+04,  4.475951731856659E+09, -3.374037514235838E-02,
2459600.500000000, A.D. 2022-Jan-21 00:00:00.0000,  4.434295154220798E+09, -5.171240204820365E+08, -3.220669123797031E+08,  7.015617596118160E-01,  5.035435653275561E+00,  2.043069284389631E+00,  1.493015819194396E+04,  4.475948822691715E+09, -3.373984847697961E-02,
2459601.500000000, A.D. 2022-Jan-22 00:00:00.0000,  4.434355713845874E+09, -5.166889812772317E+08, -3.218904019338104E+08,  7.002326201580248E-01,  5.034955574261047E+00,  2.042979206352813E+00,  1.493014838007818E+04,  4.475945881168355E+09, -3.441528297861574E-02,
2459602.500000000, A.D. 2022-Jan-23 00:00:00.0000,  4.434416157737623E+09, -5.162539668066283E+08, -3.217138607687528E+08,  6.990306365013044E-01,  5.034929603729166E+00,  2.043716458518655E+00,  1.493013835488848E+04,  4.475942875692095E+09, -3.507675316895346E-02,
2459603.500000000, A.D. 2022-Jan-24 00:00:00.0000,  4.434476528847041E+09, -5.158189289032820E+08, -3.215372443051643E+08,  6.985961798841601E-01,  5.035455503111004E+00,  2.044559053298507E+00,  1.493012822909084E+04,  4.475939840054331E+09, -3.504890385908652E-02,
2459604.500000000, A.D. 2022-Jan-25 00:00:00.0000,  4.434536893233288E+09, -5.153838375074171E+08, -3.213605823047291E+08,  6.987727954394216E-01,  5.036058778148321E+00,  2.044676333152919E+00,  1.493011821662144E+04,  4.475936838391517E+09, -3.437223093906096E-02,
2459605.500000000, A.D. 2022-Jan-26 00:00:00.0000,  4.434597271476755E+09, -5.149487118626886E+08, -3.211839479559948E+08,  6.987686434976076E-01,  5.036184669836874E+00,  2.043991288935000E+00,  1.493010841046767E+04,  4.475933898580577E+09, -3.376200001587202E-02,
2459606.500000000, A.D. 2022-Jan-27 00:00:00.0000,  4.434657617339406E+09, -5.145136005522971E+08, -3.210073819099808E+08,  6.979801927844620E-01,  5.035774527889958E+00,  2.043260134609282E+00,  1.493009868619634E+04,  4.475930983317371E+09, -3.386399213202038E-02,
2459607.500000000, A.D. 2022-Jan-28 00:00:00.0000,  4.434717865750512E+09, -5.140785310498586E+08, -3.208308500512173E+08,  6.966188441203660E-01,  5.035327172278468E+00,  2.043287509755158E+00,  1.493008883107674E+04,  4.475928028826842E+09, -3.458394105046647E-02,
2459608.500000000, A.D. 2022-Jan-29 00:00:00.0000,  4.434778000394493E+09, -5.136434812079141E+08, -3.206542789463760E+08,  6.954913195709471E-01,  5.035379983665502E+00,  2.044090126442272E+00,  1.493007876509298E+04,  4.475925011120829E+09, -3.518529593782044E-02,
2459609.500000000, A.D. 2022-Jan-30 00:00:00.0000,  4.434838070625159E+09, -5.132084022303150E+08, -3.204776320518469E+08,  6.951626163327805E-01,  5.035950948836584E+00,  2.044879209765228E+00,  1.493006862395061E+04,  4.475921970882830E+09, -3.505350450095583E-02,
2459610.500000000, A.D. 2022-Jan-31 00:00:00.0000,  4.434898140238957E+09, -5.127732693461598E+08, -3.203009476703506E+08,  6.953682936922192E-01,  5.036519862941843E+00,  2.044879839684185E+00,  1.493005861822782E+04,  4.475918971242602E+09, -3.433532985763043E-02,
